sector,tic,human_label,tmag,period_d,duration_min,depth,depth_snr,sde_max,source_batch_id,review_id,repeated_tic_observations,top_signal_atlas,vet_sheet_filename,vet_sheet_relative_path
61,779021497,eclipsing_binary_or_pceb,19.952293927113,0.574619007891278,30,1.7629835894524,30.9646035951253,407.84853372357,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-bb30d9018bca7be1,1,false,s0061-signal-final-bb30d9018bca7be1_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-bb30d9018bca7be1_twirl_twoap_current_adp.png
61,782249615,eclipsing_binary_or_pceb,19.3503878784474,1.47520343973443,30,0.151155834227521,1.68465720677738,16.3466108200331,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-96918918e2c41adb,1,false,s0061-signal-final-96918918e2c41adb_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-96918918e2c41adb_twirl_twoap_current_adp.png
61,782356534,eclipsing_binary_or_pceb,19.8126431082192,0.650283667484858,30,0.361766069238145,6.03915509732303,57.7794425584955,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-4736c923ef92a216,1,false,s0061-signal-final-4736c923ef92a216_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-4736c923ef92a216_twirl_twoap_current_adp.png
61,783595707,eclipsing_binary_or_pceb,20.0615128227721,0.970378751647846,30,1.03990234333797,14.4692422276923,143.367414059305,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-c87f7b56859881c6,1,false,s0061-signal-final-c87f7b56859881c6_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-c87f7b56859881c6_twirl_twoap_current_adp.png
61,783895487,eclipsing_binary_or_pceb,19.1693039390301,0.140962144451335,30,0.0876740721765185,2.94236278226383,38.9374707667738,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-c1e1fd0231c6cd70,1,false,s0061-signal-final-c1e1fd0231c6cd70_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-c1e1fd0231c6cd70_twirl_twoap_current_adp.png
61,784024155,eclipsing_binary_or_pceb,18.7436439828873,2.10453922431299,30,0.561119470827722,5.29625997908653,28.4208827077402,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-5035e25f03c98300,1,false,s0061-signal-final-5035e25f03c98300_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-5035e25f03c98300_twirl_twoap_current_adp.png
61,800002092,eclipsing_binary_or_pceb,18.9196787109188,0.948858872891713,30,0.602081973972362,8.25199815043375,165.236452027853,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-fa66504e714f66ff,1,false,s0061-signal-final-fa66504e714f66ff_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-fa66504e714f66ff_twirl_twoap_current_adp.png
61,800087028,eclipsing_binary_or_pceb,20.0084654022149,0.181185186249491,30,0.0684433739418829,2.06239204249303,43.6039357069256,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-ede3919237c80269,1,false,s0061-signal-final-ede3919237c80269_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-ede3919237c80269_twirl_twoap_current_adp.png
61,800117954,eclipsing_binary_or_pceb,20.2229430751952,0.39227931733553,30,1.24768412472126,26.4852408226397,815.653405698234,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-6793b85f418afe6c,1,false,s0061-signal-final-6793b85f418afe6c_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-6793b85f418afe6c_twirl_twoap_current_adp.png
61,800147867,eclipsing_binary_or_pceb,19.1302186945371,3.16836986831025,30,0.825548793693559,6.04816633949106,84.0722497912368,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-f503019a74a4e649,1,false,s0061-signal-final-f503019a74a4e649_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-f503019a74a4e649_twirl_twoap_current_adp.png
61,800347207,eclipsing_binary_or_pceb,17.527111496603,1.0409743403064,30,0.221530963942646,2.98995264234025,56.5503521613378,s60_s62_tehan_hv2_3k_20260721,s0061-signal-final-05151ac59ab9f49d,1,false,s0061-signal-final-05151ac59ab9f49d_twirl_twoap_current_adp.png,../../data_local/label_reviews/s56_s62_signal_rereview/vet_sheets_s56_s62_a2v1_current_adp_v1/s0061-signal-final-05151ac59ab9f49d_twirl_twoap_current_adp.png
