sector,tic,human_label,tmag,period_d,duration_min,depth,depth_snr,sde_max,repeated_top_observations,vet_sheet_filename,vet_sheet_relative_path
56,1400704733,planet_like,17.3447,0.36370664167431,21,0.298050745871834,6.19331850584577,386.891529609782,2,S56_TIC1400704733_planet_like.png,
56,160520962,planet_like,17.0888,0.201801590141419,15,0.0863478808517036,1.91264500643659,318.405194171627,2,S56_TIC160520962_planet_like.png,
56,2025618479,planet_like,18.5491,0.144460585019638,15,0.354507453355647,9.24739998227479,240.002048151345,1,S56_TIC2025618479_planet_like.png,
56,2025450802,planet_like,18.2075,0.217370542609268,15,0.362392308150924,7.81754001854778,213.550071818188,1,S56_TIC2025450802_planet_like.png,
56,1961800465,planet_like,17.9791,0.141930509861125,12,0.221535869875078,5.39236320188935,166.398978988252,1,S56_TIC1961800465_planet_like.png,
56,1201294971,planet_like,18.3986,0.286003649025262,12,0.514136283143806,8.77142396318549,158.916757991835,2,S56_TIC1201294971_planet_like.png,
56,1400855795,planet_like,18.8445,0.134017616824947,9,0.302085558051411,6.85430643781144,129.875097941046,2,S56_TIC1400855795_planet_like.png,
56,1400739415,planet_like,18.9446,0.127763731276688,9,0.397992050089351,9.30756174694274,100.877326960906,2,S56_TIC1400739415_planet_like.png,
56,1883349930,planet_like,18.3339,0.125189328098048,6,0.188589519276696,3.64266902086829,67.6494663033465,1,S56_TIC1883349930_planet_like.png,
56,267574918,planet_like,16.338,1.40784500927919,9,0.0876924653842994,0.618685742870737,65.3753071173326,1,S56_TIC267574918_planet_like.png,
56,2002732115,planet_like,19.1727,0.155253174099127,6,0.444772446857811,7.63869944027196,51.3975795847544,1,S56_TIC2002732115_planet_like.png,
56,1979515854,planet_like,19.7112,0.152124350993941,15,0.264126347947291,7.16755314286311,45.6773760802199,1,S56_TIC1979515854_planet_like.png,
56,2003242089,planet_like,19.6707577299045,0.95324447632351,3,0.685137894410808,3.4219022536675,11.2848368076141,1,S56_TIC2003242089_planet_like.png,
56,2013972572,planet_like,20.4003254555891,5.36085948955052,3,0.659564549706959,1.47451800780935,10.6158294186416,1,S56_TIC2013972572_planet_like.png,
56,2040434684,planet_like,20.3232674889092,0.764401743855583,3,0.665425920023579,3.81722064322013,10.487386551407,1,S56_TIC2040434684_planet_like.png,
56,2040712491,planet_like,20.2477710955033,0.376447909166525,6,0.363878889435036,4.09438262178067,10.0319721158113,1,S56_TIC2040712491_planet_like.png,
56,2040327472,planet_like,20.291914930213,1.8491599987965,12,0.558302614980205,3.97843362492269,9.91092717637215,1,S56_TIC2040327472_planet_like.png,
56,2001332736,planet_like,19.6728029351006,3.93551270979651,15,0.530707142353378,2.85413719403263,9.76382697091254,1,S56_TIC2001332736_planet_like.png,
56,1978545466,planet_like,20.2359120177697,2.41949770645352,12,0.74046181767397,4.84642441420503,9.59391215414748,1,S56_TIC1978545466_planet_like.png,
56,1884114805,planet_like,19.6853575054807,0.185225660181984,3,0.308785841182564,3.56682001427953,9.19486416415351,1,S56_TIC1884114805_planet_like.png,
56,2040583203,planet_like,19.0671640936039,1.73901490384014,6,0.711667774407202,3.8277255794077,9.1601844387724,1,S56_TIC2040583203_planet_like.png,
56,1971892020,planet_like,19.6518184369627,3.40467487434467,12,0.685112184901646,3.62094534449924,9.10529527045932,1,S56_TIC1971892020_planet_like.png,
56,2040459567,planet_like,20.2905642539787,2.01777066317487,6,0.643749361442076,3.40234894961871,8.52788152762633,1,S56_TIC2040459567_planet_like.png,
56,1979188354,planet_like,19.7484461830197,0.433977378798086,3,0.538602865864104,4.05629085278439,8.48822680997746,1,S56_TIC1979188354_planet_like.png,
56,2001273871,planet_like,19.75336476656,0.478420880166514,3,0.531636070052199,3.67509462235664,8.34567050158607,1,S56_TIC2001273871_planet_like.png,
56,2040364939,planet_like,20.0374150355085,0.996935012876291,21,0.246084583683101,3.18530272089344,8.13493323111806,1,S56_TIC2040364939_planet_like.png,
56,1882050598,planet_like,19.9099386529503,0.177125037399473,3,0.33437769943478,3.91891734690666,7.9278184516243,1,S56_TIC1882050598_planet_like.png,
56,2003515304,planet_like,20.03919483212,0.827946478098765,12,0.433586868292317,4.48494725606974,7.71027023692156,1,S56_TIC2003515304_planet_like.png,
56,2011415393,planet_like,20.0787719372267,0.243088866195667,3,0.370544254294983,3.65279555742345,7.6154767064159,1,S56_TIC2011415393_planet_like.png,
56,2003344337,planet_like,19.8287887207362,0.381233175244496,6,0.329157051585225,3.63055639214844,6.73305875031206,1,S56_TIC2003344337_planet_like.png,
56,1977017648,wide_transit_like,19.9813,0.528231245708199,30,1.20612572641854,24.8394037224703,294.336060460285,1,S56_TIC1977017648_wide_transit_like.png,
56,2003932333,wide_transit_like,18.4242,6.25944945634394,30,3.52599990132968,21.1208630126874,255.384834983964,1,S56_TIC2003932333_wide_transit_like.png,
56,1961669845,wide_transit_like,19.2721,0.375137439748917,30,0.502664102488084,11.907417077442,236.55966582895,1,S56_TIC1961669845_wide_transit_like.png,
56,1883654820,wide_transit_like,19.797,0.202020281265631,30,0.263219629532214,8.39571834334772,170.688947003006,1,S56_TIC1883654820_wide_transit_like.png,
56,2004663882,wide_transit_like,18.3554,8.2386896132764,30,1.57752874515002,8.18714016012141,92.7687489765708,1,S56_TIC2004663882_wide_transit_like.png,
56,2002584084,wide_transit_like,17.3852,0.315005112553287,30,0.0833134834593751,2.05997628594726,67.6669477245044,1,S56_TIC2002584084_wide_transit_like.png,
56,2002584079,wide_transit_like,17.7065,0.315005112547121,30,0.0983439357623098,2.4316133130583,66.815078474124,1,S56_TIC2002584079_wide_transit_like.png,
56,365613123,wide_transit_like,16.6059,0.242472458152093,30,0.0221565488819796,0.672665695278795,44.4092950161348,1,S56_TIC365613123_wide_transit_like.png,
57,160520962,planet_like,17.0724396676131,0.201780828998205,15,0.148606923908623,3.13065025827978,637.592079926615,2,S57_TIC160520962_planet_like.png,
57,1400704733,planet_like,17.2663369081197,0.363705456827428,21,0.261434161255127,5.24928480531618,429.396735669644,2,S57_TIC1400704733_planet_like.png,
57,1201294971,planet_like,18.3344328671901,0.286040800969781,15,0.328328863242563,5.76595506683058,126.81948706188,2,S57_TIC1201294971_planet_like.png,
57,1400739415,planet_like,18.9043838951247,0.127759179635239,12,0.307445797407464,7.69368123250963,94.5196324395542,2,S57_TIC1400739415_planet_like.png,
57,1400855795,planet_like,18.7386238994237,0.134000999975096,6,0.247161472539461,4.2839829874729,68.2775893889461,2,S57_TIC1400855795_planet_like.png,
58,445187975,planet_like,16.8880984770818,1.39010582067934,30,0.181948176602312,2.23290288279785,280.420665632914,1,S58_TIC445187975_planet_like.png,
58,2023941305,planet_like,18.637989698289,0.236137593101562,9,0.405157246600758,6.54419061448141,98.4969314317314,1,S58_TIC2023941305_planet_like.png,
