config,bkspace_d,sigma_clip,duration_min,depth,injection_cases,median_retention,p16_retention,p84_retention,min_retention,max_retention,median_cadences
bk0.8_sig3,0.8,3.0,180.0,0.1,33,0.9831124191634549,0.9507642574699439,0.993177846337029,0.8662183602087914,1.1194733513738857,540.0
bk0.8_sig3,0.8,3.0,180.0,0.3,33,0.9620903753231774,0.9292729279261284,0.9905864702694676,0.8840906231628552,1.1301213572489839,540.0
bk0.8_sig3,0.8,3.0,240.0,0.1,33,0.9729937920871895,0.944659235551033,0.9866193174601189,0.8306426645939791,1.1003498685741464,720.0
bk0.8_sig3,0.8,3.0,240.0,0.3,33,0.9524276106558776,0.9160209817551478,0.9788223635788715,0.8519907430113315,1.1338532317100898,720.0
bk0.8_sig3,0.8,3.0,360.0,0.1,33,0.9545805766939319,0.9204832934452278,0.9757954864757005,0.848951324538556,1.0728817353158753,1080.0
bk0.8_sig3,0.8,3.0,360.0,0.3,33,0.9290790864607034,0.8983717221526211,0.9618819110017953,0.7110672806670228,1.0988915370572314,1080.0
bk0.8_sig5,0.8,5.0,180.0,0.1,33,0.9841269245503814,0.9719535714268404,0.9923334784260658,0.9122940105526306,1.1039583963324873,540.0
bk0.8_sig5,0.8,5.0,180.0,0.3,33,0.9693148406698956,0.9569721732748769,0.9888721519512689,0.8720727788837006,1.1145715895883748,540.0
bk0.8_sig5,0.8,5.0,240.0,0.1,33,0.9774582346149446,0.9640664621112611,0.9874201775310036,0.9082287309188897,1.0932002187002536,720.0
bk0.8_sig5,0.8,5.0,240.0,0.3,33,0.9592939410502274,0.9483573750260771,0.9818220928418608,0.8539930546563459,1.107962091579036,720.0
bk0.8_sig5,0.8,5.0,360.0,0.1,33,0.9644814327732287,0.946564711004094,0.9793455441433706,0.8965731324519038,1.070343222271516,1080.0
bk0.8_sig5,0.8,5.0,360.0,0.3,33,0.9397444430426531,0.9272774813322318,0.9664278236025368,0.9017689541473114,1.0946990186405698,1080.0
bk1.2_sig3,1.2,3.0,180.0,0.1,33,0.9919436551431221,0.9820589898054086,0.9976292852236183,0.9200758668154418,1.122977177083772,540.0
bk1.2_sig3,1.2,3.0,180.0,0.3,33,0.9724358273805743,0.9592307349631294,0.9936550823271433,0.9220814697670893,1.1375679908617513,540.0
bk1.2_sig3,1.2,3.0,240.0,0.1,33,0.9899982668950502,0.9794598107996975,1.0007064032704867,0.920385727367764,1.1172558836837587,720.0
bk1.2_sig3,1.2,3.0,240.0,0.3,33,0.9667466754561992,0.9542194866447715,0.9884298911545436,0.9222891265896453,1.1328633040096319,720.0
bk1.2_sig3,1.2,3.0,360.0,0.1,33,0.9858000065258182,0.9720932045709909,0.9957887998525259,0.920773158721086,1.12510496173449,1080.0
bk1.2_sig3,1.2,3.0,360.0,0.3,33,0.9573359649546426,0.9389005485345624,0.9846612630837397,0.8864903402066431,1.1493351932759668,1080.0
bk1.2_sig5,1.2,5.0,180.0,0.1,33,0.9940278793787227,0.9812806957014105,0.9976906777555722,0.9223876198370906,1.134615858640079,540.0
bk1.2_sig5,1.2,5.0,180.0,0.3,33,0.9754383858184701,0.9663791045716611,0.9941780156117723,0.9235729392590675,1.146017564929105,540.0
bk1.2_sig5,1.2,5.0,240.0,0.1,33,0.9906466202926062,0.9796939335772786,0.9966200936699392,0.9235790775453151,1.13281925972938,720.0
