config,bkspace_d,sigma_clip,cases,failures,median_det_mad,median_trend_mad,median_trend_range,raw_neg_q0,retained_neg_q0,worst_p16_retention,worst_median_retention,max_p84_retention,retained_neg_q0_frac,pass_retention_90_110
bk0.8_sig3,0.8,3.0,33,0,0.15682024255885402,0.04869647516881707,0.19372407410355497,117915,117915,0.8983717221526211,0.9290790864607034,0.993177846337029,1.0,False
bk0.8_sig5,0.8,5.0,33,0,0.15810848149677045,0.052179099896945455,0.20388517103385795,117915,117915,0.9272774813322318,0.9397444430426531,0.9923334784260658,1.0,True
bk1.2_sig3,1.2,3.0,33,0,0.1618128464545866,0.06703329750116169,0.24334048372637307,117915,117915,0.9389005485345624,0.9573359649546426,1.0007064032704867,1.0,True
bk1.2_sig5,1.2,5.0,33,0,0.1677449746507462,0.07125192443374122,0.3010996890937584,117915,117915,0.9446126719429967,0.9599211728422585,0.9976906777555722,1.0,True
bk2_sig3,2.0,3.0,33,0,0.1988362862738913,0.09661150045375072,0.4298622426886549,117915,117915,0.9464454450733302,0.9596197186809219,0.9995459771433084,1.0,True
bk2_sig5,2.0,5.0,33,0,0.19902850444896772,0.09887039116151716,0.42771017203382444,117915,117915,0.9449508651408407,0.9596151991897227,0.999113478225861,1.0,True
bk3_sig3,3.0,3.0,33,0,0.269983390076093,0.1527983376318999,0.6090978032087998,117915,117915,0.9406395447486433,0.9594819565193491,1.0013194710329172,1.0,True
bk3_sig5,3.0,5.0,33,0,0.2732138115659671,0.17479179983072124,0.6090978032087998,117915,117915,0.9431827595105142,0.9648625470800295,1.0011791759776518,1.0,True
