sector,tic_id
60,4373827
60,4488436
60,4491131
60,4559038
60,11552152
60,11671758
60,11834556
60,14121617
60,14122276
60,14285125
60,15924748
60,16046443
60,16430678
60,16531420
60,16548583
60,16594061
60,17857475
60,17901092
60,18747353
60,21294421
60,22635383
60,22704782
60,29106185
60,39025053
60,47875421
60,51125264
60,51165700
60,53308315
60,53426287
60,55125767
60,55130446
60,55502089
60,55596721
60,55642026
60,68382639
60,68580109
60,68662346
60,68904300
60,68984044
60,70891538
60,71149105
60,71293338
60,71329936
60,71518872
60,71585223
60,73277101
60,73380812
60,73381663
60,73431551
60,73431864
60,80858168
60,80882545
60,80882624
60,81000955
60,81104679
60,85146644
60,85241755
60,85270881
60,86177024
60,88333281
60,88333342
60,88410847
60,88484968
60,88564975
60,88701414
60,98972234
60,99100380
60,99432153
60,99433116
60,99545080
60,99650487
60,102927847
60,103570864
60,103631104
60,103806085
60,125580300
60,137420846
60,137502282
60,137504709
60,137607346
60,137608661
60,138251196
60,138335857
60,138399349
60,138400883
60,138440897
60,140834596
60,140993620
60,141033984
60,141100831
60,141101830
60,141117787
60,141431871
60,141583827
60,141661669
60,141689067
60,141764095
60,142488005
60,142491300
60,142535546
60,142584631
60,142751700
60,142785619
60,142793398
60,144128638
60,144130224
60,144171054
60,147610929
60,147921014
60,149830308
60,150023493
60,153858788
60,153896170
60,154345149
60,154473994
60,154510747
60,154567033
60,156170444
60,156197735
60,156495928
60,156507936
60,156939760
60,157260715
60,157982674
60,158013652
60,159117639
60,159330149
60,159500861
60,160119816
60,160185214
60,160272537
60,160272817
60,160395571
60,160520962
60,160521427
60,160534540
60,160583318
60,165102317
60,171305519
60,188819697
60,192013186
60,192063894
60,192200194
60,192937035
60,192948116
60,192968590
60,196982487
60,197173876
60,197186478
60,198182753
60,198279418
60,198456017
60,198479927
60,199666369
60,199710552
60,199713273
60,202279210
60,203168205
60,219099282
60,219437497
60,219460164
60,219465698
60,219694813
60,219773853
60,219780528
60,219789966
60,219863212
60,219868627
60,219884489
60,229454007
60,229485883
60,229487920
60,229581336
60,229593795
60,229608004
60,229614303
60,229673607
60,229706760
60,229742116
60,229749925
60,229762574
60,229770890
60,229797408
60,229947616
60,229955280
60,229966905
60,230008973
60,230029140
60,230088036
60,230122727
60,230134629
60,230135750
60,230376298
60,230384389
60,230389935
60,230396780
60,232520712
60,232522196
60,232605099
60,232608294
60,232615474
60,232637651
60,232652205
60,232673228
60,232681995
60,232682605
60,232983098
60,233073319
60,233094446
60,233197921
60,233202337
60,233206916
60,233211303
60,233212451
60,233235168
60,233499544
60,233528682
60,233607898
60,233611115
60,233658072
60,233689607
60,233718692
60,233729964
60,233738050
60,235672689
60,235674456
60,235680656
60,235901814
60,235928270
60,235942759
60,235995087
60,236763903
60,236765572
60,237104515
60,237223287
60,239122172
60,239138943
60,239188425
60,239892534
60,240053414
60,241144325
60,241162888
60,241180977
60,241182175
60,241227623
60,241229315
60,241229987
60,243318299
60,243333637
60,243349100
60,252911637
60,252914025
60,252915193
60,252968801
60,252972234
60,252986221
60,252991559
60,252997535
60,252999101
60,253000003
60,253000285
60,253011188
60,256299458
60,256378322
60,256459794
60,256738722
60,257046325
60,257062199
60,258499987
60,258503010
60,258640923
60,258775274
60,258799357
60,258827747
60,258954817
60,264026824
60,264027491
60,264172524
60,264218911
60,264404583
60,266474478
60,267544200
60,268394769
60,269663822
60,272672455
60,272782932
60,274327995
60,275691308
60,280033055
60,284021737
60,284191152
60,284475576
60,284562460
60,284562929
60,284900652
60,286841206
60,287150240
60,287205007
60,287259816
60,287259821
60,288300744
60,288316639
60,288344719
60,288405379
60,288470165
60,288639535
60,288952837
60,289484028
60,289538721
60,293567125
60,298002413
60,298071788
60,298411553
60,298552263
60,298666530
60,299495156
60,299495157
60,302847508
60,307650095
60,307984391
60,309511160
60,309705929
60,312812867
60,312832222
60,313007038
60,313026786
60,313144249
60,313590537
60,315722620
60,316276691
60,320323992
60,321029992
60,321159503
60,321339283
60,328326549
60,328665635
60,329246935
60,332225843
60,333870076
60,333877298
60,335563514
60,335609834
60,335654642
60,339425061
60,341616994
60,341618565
60,341629999
60,341873883
60,352231834
60,353817291
60,353895732
60,355754830
60,355764113
60,355809000
60,355977196
60,356107943
60,356479476
60,356788459
60,356822524
60,357031733
60,357058892
60,357184173
60,357186407
60,357233647
60,357954446
60,358615686
60,359499459
60,362022684
60,362023614
60,362079839
60,364966239
60,367603862
60,367755075
60,367779738
60,367840218
60,368823707
60,371102021
60,371148005
60,371270066
60,371293993
60,371703033
60,371790505
60,376870295
60,376930392
60,377309425
60,379201661
60,379202506
60,383647463
60,383647517
60,383673264
60,387087373
60,390019679
60,390023250
60,392065083
60,392069490
60,393233549
60,393741770
60,394120992
60,394131772
60,396487431
60,396817664
60,396830116
60,400011214
60,400055410
60,406533735
60,406537895
60,406931389
60,407505845
60,407569944
60,409233602
60,409290884
60,415009051
60,415733317
60,416500307
60,416500713
60,417620454
60,417745113
60,417775963
60,417825709
60,417829210
60,423230809
60,424461085
60,424699808
60,424699815
60,424903953
60,427587075
60,441569276
60,441588481
60,441617537
60,441630966
60,441725813
60,441726186
60,441730534
60,441791113
60,441793325
60,444899832
60,444936347
60,444944513
60,444988803
60,444989626
60,444990677
60,445018128
60,445025107
60,446157164
60,453331680
60,453373950
60,457099062
60,457127465
60,458392035
60,459867189
60,459977299
60,459979505
60,459982139
60,461494284
60,461515717
60,461540522
60,462552847
60,462575702
60,467155541
60,467214815
60,468827775
60,468885686
60,470119026
60,470153744
60,470962469
60,470982036
60,470989575
60,508441770
60,512189846
60,512573360
60,609821233
60,609830566
60,609830686
60,609836974
60,609838503
60,609838594
60,609839821
60,609839956
60,609840581
60,609842230
60,609843604
60,609844658
60,609845133
60,609845663
60,609845853
60,609845889
60,609846057
60,609846867
60,609847819
60,609848221
60,609849582
60,609853869
60,609854949
60,609855290
60,609855317
60,609856284
60,609857321
60,609857646
60,609857647
60,609860982
60,609861878
60,609861929
60,609862200
60,609862277
60,609862395
60,609862420
60,609862603
60,609862838
60,609863375
60,609863392
