config,bkspace_d,sigma_clip,duration_min,depth,injection_cases,median_retention,p16_retention,p84_retention,min_retention,max_retention,median_cadences
bk0.3_sig3,0.3,3.0,5.0,0.03,33,0.9863338853079755,0.9857927016766561,0.9871616791442279,0.9213567887350357,1.120765763330763,15.0
bk0.3_sig3,0.3,3.0,5.0,0.1,33,0.9862279981657412,0.985397817408468,0.9872874727479007,0.9140355850985793,1.1204955885043033,15.0
bk0.3_sig3,0.3,3.0,5.0,0.3,33,0.991053846516102,0.9852129817373989,0.9995074529979168,0.9107931922340801,1.1308127338884026,15.0
bk0.3_sig3,0.3,3.0,5.0,0.5,33,0.9984988991938287,0.9851675874088557,0.9998706221203215,0.910147715374245,1.1368913916470809,15.0
bk0.3_sig3,0.3,3.0,10.0,0.03,33,0.9793776149937169,0.9766494397243988,0.9800379945969815,0.9072069326293046,1.1133389701897498,30.0
bk0.3_sig3,0.3,3.0,10.0,0.1,33,0.979798558750079,0.9778200451611176,0.9815368505543431,0.9027029787670476,1.1128933526521871,30.0
bk0.3_sig3,0.3,3.0,10.0,0.3,33,0.9836054014118203,0.9776010950457403,0.9994045325961741,0.9027255273818307,1.1220383317285068,30.0
bk0.3_sig3,0.3,3.0,10.0,0.5,33,0.9955556815962053,0.9788366628336016,0.9988616854002608,0.9019400160783899,1.1369073119393431,30.0
bk0.3_sig3,0.3,3.0,30.0,0.03,33,0.938204615162902,0.9312870915051551,0.9398789189810959,0.8704050463503588,1.0663514870306183,90.0
bk0.3_sig3,0.3,3.0,30.0,0.1,33,0.93802203912771,0.9341639344254415,0.9454057391513324,0.8681025685117394,1.0700242667043425,90.0
bk0.3_sig3,0.3,3.0,30.0,0.3,33,0.9495447837109258,0.936528796030406,0.9980977360395163,0.868028284534239,1.0916712468913845,90.0
bk0.3_sig3,0.3,3.0,30.0,0.5,33,0.9866361590149625,0.9387404071497447,0.9960143378478415,0.8683727448917946,1.1400072079892365,90.0
bk0.3_sig3,0.3,3.0,60.0,0.03,33,0.8779362310111635,0.8661492659296834,0.8842635269111024,0.8156322725529075,0.9907677009581377,180.0
bk0.3_sig3,0.3,3.0,60.0,0.1,33,0.8756311831586189,0.8681192815432984,0.8828607082805363,0.8167928302937055,0.9872529155723953,180.0
bk0.3_sig3,0.3,3.0,60.0,0.3,33,0.8947523770188637,0.8694467623984957,0.9926256963523987,0.8187791991259341,1.0491067945474328,180.0
bk0.3_sig3,0.3,3.0,60.0,0.5,33,0.9667155767596914,0.8875574643726414,0.9905435846241125,0.8148717228904903,1.1405491659320295,180.0
bk0.3_sig3,0.3,3.0,120.0,0.03,33,0.7555099797571537,0.7367827991629258,0.7802069576362001,0.7094712932298834,0.8513061839764932,360.0
bk0.3_sig3,0.3,3.0,120.0,0.1,33,0.7524380424817934,0.7389896353271445,0.7720380593849362,0.7153705520598452,0.8605691863883247,360.0
bk0.3_sig3,0.3,3.0,120.0,0.3,33,0.77416392324271,0.7419340649479046,0.9771660106045169,0.7061673299348376,1.0456752386649824,360.0
bk0.3_sig3,0.3,3.0,120.0,0.5,33,0.8494938889764747,0.7531392712641405,0.9785405258019895,0.7047401998106654,1.1318250128529415,360.0
bk0.3_sig3,0.3,3.0,180.0,0.03,33,0.6361755701070301,0.615528253765713,0.6605792532588839,0.5726723297590757,0.7287072511848292,540.0
bk0.3_sig3,0.3,3.0,180.0,0.1,33,0.6356600440067733,0.6125612364149646,0.6651634839155902,0.5953611856515295,0.7273470463872744,540.0
bk0.3_sig3,0.3,3.0,180.0,0.3,33,0.6396102986416937,0.6221663135878261,0.7281136675224752,0.59951798546063,1.048710706911515,540.0
bk0.3_sig3,0.3,3.0,180.0,0.5,33,0.6650194758847127,0.6155278903740469,0.9575729753962536,0.6043843966132523,1.0511115421760078,540.0
bk0.3_sig5,0.3,5.0,5.0,0.03,33,0.9863267357523464,0.9858690569289893,0.9863427600077369,0.9142932322376434,1.120752046035317,15.0
bk0.3_sig5,0.3,5.0,5.0,0.1,33,0.9863035601504122,0.9854794252596726,0.986330130438599,0.9117178360139372,1.1205483253064068,15.0
bk0.3_sig5,0.3,5.0,5.0,0.3,33,0.9863292684727687,0.985278156613848,0.9985324978461617,0.9088392923695195,1.1214300464409301,15.0
bk0.3_sig5,0.3,5.0,5.0,0.5,33,0.9881971864047248,0.9852376144955435,0.9993131345238011,0.9087189072780183,1.1294091491334586,15.0
bk0.3_sig5,0.3,5.0,10.0,0.03,33,0.9798387808645337,0.9784689244389457,0.9800204306366476,0.9023442228541123,1.1128982716859859,30.0
bk0.3_sig5,0.3,5.0,10.0,0.1,33,0.9795041750487771,0.9778558540965726,0.9800195464660932,0.9027717040647187,1.1124085816933187,30.0
bk0.3_sig5,0.3,5.0,10.0,0.3,33,0.9797052653332399,0.9773761113690844,0.9893175295296166,0.9024847995234982,1.1127633417531304,30.0
bk0.3_sig5,0.3,5.0,10.0,0.5,33,0.9812634305469429,0.9767495397650722,0.9985928981286081,0.9022583459022074,1.1209101691481331,30.0
bk0.3_sig5,0.3,5.0,30.0,0.03,33,0.9392419982508542,0.9351886127864663,0.9398818451891953,0.8655552198892413,1.0648697031512315,90.0
bk0.3_sig5,0.3,5.0,30.0,0.1,33,0.9380002399111487,0.9348597413216405,0.9398821789537144,0.8656435040074895,1.0641516868794043,90.0
bk0.3_sig5,0.3,5.0,30.0,0.3,33,0.9367776562080523,0.9313760220461862,0.9573630831160946,0.8672701520157724,1.073909256706163,90.0
bk0.3_sig5,0.3,5.0,30.0,0.5,33,0.9436242835300288,0.931114842847339,0.9950794723692503,0.8658298440161739,1.0913871968666586,90.0
bk0.3_sig5,0.3,5.0,60.0,0.03,33,0.8777107615698406,0.8724194186284072,0.8791542591877541,0.8080104115707736,0.990994113764887,180.0
bk0.3_sig5,0.3,5.0,60.0,0.1,33,0.876447445369406,0.8689261643787026,0.8801952255700319,0.8104178346032614,0.9901272264671135,180.0
bk0.3_sig5,0.3,5.0,60.0,0.3,33,0.8733640968585001,0.8643339253713168,0.886919612327129,0.8124187277279975,1.0435848623406352,180.0
bk0.3_sig5,0.3,5.0,60.0,0.5,33,0.8748206112417436,0.8635985071429437,0.9884511505702754,0.808868217714007,1.0483248998288692,180.0
bk0.3_sig5,0.3,5.0,120.0,0.03,33,0.7557484549762036,0.7480014129068117,0.7580862386186484,0.6984907770213896,0.8487077930876719,360.0
bk0.3_sig5,0.3,5.0,120.0,0.1,33,0.7541885273969956,0.7421024848278048,0.7593061268392952,0.7015518525921371,0.8522692949490129,360.0
bk0.3_sig5,0.3,5.0,120.0,0.3,33,0.7477492438796529,0.7365595716223039,0.7637283518247775,0.7015851337976744,0.8854839455203177,360.0
bk0.3_sig5,0.3,5.0,120.0,0.5,33,0.7427979822200343,0.7362078989513411,0.8524322697840876,0.6981630957080163,1.0478952515721278,360.0
bk0.3_sig5,0.3,5.0,180.0,0.03,33,0.6370278714760647,0.6287824146961004,0.6429027531540188,0.5925597743476693,0.7084823682799243,540.0
bk0.3_sig5,0.3,5.0,180.0,0.1,33,0.6348471361654001,0.6242307457737486,0.6430187144858465,0.5957493702980377,0.7144032725780747,540.0
bk0.3_sig5,0.3,5.0,180.0,0.3,33,0.6259603953797204,0.6158841112682801,0.6406872880934874,0.5940098408763554,0.7185590826271939,540.0
bk0.3_sig5,0.3,5.0,180.0,0.5,33,0.6214049258201824,0.6127428457281872,0.6369143124921018,0.584458245070332,0.7235463858796596,540.0
bk0.5_sig3,0.5,3.0,5.0,0.03,33,0.9926259982769026,0.99130228671279,0.9934588073304714,0.9196045150466144,1.1275732531711806,15.0
bk0.5_sig3,0.5,3.0,5.0,0.1,33,0.9926245828947478,0.9917301775887796,0.9930558136925699,0.9174950193234899,1.1275611687267277,15.0
