case_id,variant,injection_depth,injection_duration_min,injection_period_d,injection_flux_scale,injection_cadences,recovered_depth,depth_retention_frac
tic2014550155_s0056_o120_c3-2_Primary,sub_median_abs,0.03,30.0,1.40793903,7713.796334213594,90,0.05298042262893793,1.7660140876312644
tic2014550155_s0056_o120_c3-2_Primary,sub_auto,0.03,30.0,1.40793903,7713.796334213594,90,0.028196465368612145,0.9398821789537382
tic2014550155_s0056_o120_c3-2_Small,divisive,0.03,30.0,1.40793903,590.5989920847563,90,-0.017933865377970204,-0.5977955125990069
tic2014550155_s0056_o120_c3-2_Small,sub_median,0.03,30.0,1.40793903,590.5989920847563,90,-0.10337945976413959,-3.4459819921379866
tic2014550155_s0056_o120_c3-2_Small,sub_median_abs,0.03,30.0,1.40793903,590.5989920847563,90,0.10337945976413965,3.4459819921379884
tic2014550155_s0056_o120_c3-2_Small,sub_auto,0.03,30.0,1.40793903,590.5989920847563,90,0.02596665659667724,0.8655552198892413
tic2014550155_s0056_o120_c3-2_Large,divisive,0.03,30.0,1.40793903,22544.861235688375,90,-0.02336172309221568,-0.7787241030738561
tic2014550155_s0056_o120_c3-2_Large,sub_median,0.03,30.0,1.40793903,22544.861235688375,90,-0.05199416253755934,-1.733138751251978
tic2014550155_s0056_o120_c3-2_Large,sub_median_abs,0.03,30.0,1.40793903,22544.861235688375,90,0.051994162537559285,1.7331387512519763
tic2014550155_s0056_o120_c3-2_Large,sub_auto,0.03,30.0,1.40793903,22544.861235688375,90,0.0281964653686122,0.93988217895374
tic2041357363_s0056_o120_c2-4_Primary,divisive,0.03,30.0,1.40793903,12925.067463872449,90,-0.0265417084105547,-0.8847236136851566
tic2041357363_s0056_o120_c2-4_Primary,sub_median,0.03,30.0,1.40793903,12925.067463872449,90,-0.05616896876211264,-1.872298958737088
tic2041357363_s0056_o120_c2-4_Primary,sub_median_abs,0.03,30.0,1.40793903,12925.067463872449,90,0.0561689687621128,1.8722989587370935
tic2041357363_s0056_o120_c2-4_Primary,sub_auto,0.03,30.0,1.40793903,12925.067463872449,90,0.0281796528037222,0.9393217601240733
tic2041357363_s0056_o120_c2-4_Small,divisive,0.03,30.0,1.40793903,749.0682649329216,90,-0.023705680744932345,-0.7901893581644115
tic2041357363_s0056_o120_c2-4_Small,sub_median,0.03,30.0,1.40793903,749.0682649329216,90,-0.06904431164099611,-2.3014770546998706
tic2041357363_s0056_o120_c2-4_Small,sub_median_abs,0.03,30.0,1.40793903,749.0682649329216,90,0.06904431164099606,2.301477054699869
tic2041357363_s0056_o120_c2-4_Small,sub_auto,0.03,30.0,1.40793903,749.0682649329216,90,0.028137091379249524,0.9379030459749842
tic2041357363_s0056_o120_c2-4_Large,divisive,0.03,30.0,1.40793903,42679.25365747908,90,-0.0002193899497206636,-0.007312998324022121
tic2041357363_s0056_o120_c2-4_Large,sub_median,0.03,30.0,1.40793903,42679.25365747908,90,-1.1353670222525594,-37.845567408418646
tic2041357363_s0056_o120_c2-4_Large,sub_median_abs,0.03,30.0,1.40793903,42679.25365747908,90,1.1353670222525591,37.84556740841864
tic2041357363_s0056_o120_c2-4_Large,sub_auto,0.03,30.0,1.40793903,42679.25365747908,90,0.028181455246019615,0.9393818415339872
tic2053290277_s0056_o120_c1-4_Primary,divisive,0.03,30.0,1.40793903,2460.9825774131928,90,-0.024599200683392657,-0.8199733561130886
tic2053290277_s0056_o120_c1-4_Primary,sub_median,0.03,30.0,1.40793903,2460.9825774131928,90,-0.037226531831010934,-1.2408843943670311
tic2053290277_s0056_o120_c1-4_Primary,sub_median_abs,0.03,30.0,1.40793903,2460.9825774131928,90,0.03722653183101082,1.2408843943670276
tic2053290277_s0056_o120_c1-4_Primary,sub_auto,0.03,30.0,1.40793903,2460.9825774131928,90,0.02819638192747642,0.9398793975825475
tic2053290277_s0056_o120_c1-4_Small,divisive,0.03,30.0,1.40793903,283.23178680020214,90,-0.04325639736299795,-1.4418799120999317
tic2053290277_s0056_o120_c1-4_Small,sub_median,0.03,30.0,1.40793903,283.23178680020214,90,-0.27658942848349893,-9.219647616116632
tic2053290277_s0056_o120_c1-4_Small,sub_median_abs,0.03,30.0,1.40793903,283.23178680020214,90,0.2765894284834989,9.21964761611663
tic2053290277_s0056_o120_c1-4_Small,sub_auto,0.03,30.0,1.40793903,283.23178680020214,90,0.02721840654160934,0.9072802180536448
tic2053290277_s0056_o120_c1-4_Large,divisive,0.03,30.0,1.40793903,7850.3286290062315,90,-0.024876289479906832,-0.8292096493302278
tic2053290277_s0056_o120_c1-4_Large,sub_median,0.03,30.0,1.40793903,7850.3286290062315,90,-0.03374534442382293,-1.1248448141274312
tic2053290277_s0056_o120_c1-4_Large,sub_median_abs,0.03,30.0,1.40793903,7850.3286290062315,90,0.03374534442382293,1.1248448141274312
tic2053290277_s0056_o120_c1-4_Large,sub_auto,0.03,30.0,1.40793903,7850.3286290062315,90,0.028177259947525624,0.9392419982508542
tic2053292543_s0056_o120_c1-4_Primary,divisive,0.03,30.0,1.40793903,1919.5059118386862,90,-0.02608129773447264,-0.8693765911490879
tic2053292543_s0056_o120_c1-4_Primary,sub_median,0.03,30.0,1.40793903,1919.5059118386862,90,-0.0405950732197789,-1.3531691073259633
tic2053292543_s0056_o120_c1-4_Primary,sub_median_abs,0.03,30.0,1.40793903,1919.5059118386862,90,0.04059507321977884,1.3531691073259615
tic2053292543_s0056_o120_c1-4_Primary,sub_auto,0.03,30.0,1.40793903,1919.5059118386862,90,0.028114225890368383,0.9371408630122795
tic2053292543_s0056_o120_c1-4_Small,divisive,0.03,30.0,1.40793903,349.0149486661307,90,0.059838983445683475,1.9946327815227824
tic2053292543_s0056_o120_c1-4_Small,sub_median,0.03,30.0,1.40793903,349.0149486661307,90,0.0420969885929946,1.40323295309982
tic2053292543_s0056_o120_c1-4_Small,sub_median_abs,0.03,30.0,1.40793903,349.0149486661307,90,0.0420969885929946,1.40323295309982
tic2053292543_s0056_o120_c1-4_Small,sub_auto,0.03,30.0,1.40793903,349.0149486661307,90,0.028200985634066866,0.9400328544688956
tic2053292543_s0056_o120_c1-4_Large,divisive,0.03,30.0,1.40793903,6477.621780836452,90,-0.025577277688037026,-0.8525759229345675
tic2053292543_s0056_o120_c1-4_Large,sub_median,0.03,30.0,1.40793903,6477.621780836452,90,-0.033998268581197366,-1.1332756193732456
tic2053292543_s0056_o120_c1-4_Large,sub_median_abs,0.03,30.0,1.40793903,6477.621780836452,90,0.03399826858119748,1.1332756193732494
tic2053292543_s0056_o120_c1-4_Large,sub_auto,0.03,30.0,1.40793903,6477.621780836452,90,0.028079763023329984,0.9359921007776661
tic2053333283_s0056_o120_c1-4_Primary,divisive,0.03,30.0,1.40793903,5307.566956154752,90,-0.041858586810081616,-1.3952862270027206
tic2053333283_s0056_o120_c1-4_Primary,sub_median,0.03,30.0,1.40793903,5307.566956154752,90,-0.0842695430716997,-2.8089847690566567
tic2053333283_s0056_o120_c1-4_Primary,sub_median_abs,0.03,30.0,1.40793903,5307.566956154752,90,0.08426954307169948,2.8089847690566496
tic2053333283_s0056_o120_c1-4_Primary,sub_auto,0.03,30.0,1.40793903,5307.566956154752,90,0.028185480212516656,0.9395160070838886
tic2053333283_s0056_o120_c1-4_Small,divisive,0.03,30.0,1.40793903,446.6060234829938,90,-0.027353174501195454,-0.9117724833731818
tic2053333283_s0056_o120_c1-4_Small,sub_median,0.03,30.0,1.40793903,446.6060234829938,90,-0.2820812599980289,-9.402708666600963
tic2053333283_s0056_o120_c1-4_Small,sub_median_abs,0.03,30.0,1.40793903,446.6060234829938,90,0.282081259998028,9.402708666600935
tic2053333283_s0056_o120_c1-4_Small,sub_auto,0.03,30.0,1.40793903,446.6060234829938,90,0.028196375238975502,0.9398791746325168
tic2053333283_s0056_o120_c1-4_Large,divisive,0.03,30.0,1.40793903,19725.836072164235,90,-0.029521707457616952,-0.9840569152538985
tic2053333283_s0056_o120_c1-4_Large,sub_median,0.03,30.0,1.40793903,19725.836072164235,90,-0.06100216132119629,-2.0334053773732097
tic2053333283_s0056_o120_c1-4_Large,sub_median_abs,0.03,30.0,1.40793903,19725.836072164235,90,0.06100216132119629,2.0334053773732097
tic2053333283_s0056_o120_c1-4_Large,sub_auto,0.03,30.0,1.40793903,19725.836072164235,90,0.028192482740503566,0.9397494246834522
tic267574918_s0056_o119_c4-1_Primary,divisive,0.03,30.0,1.40793903,8257.698137170888,81,0.03229647124852014,1.0765490416173382
tic267574918_s0056_o119_c4-1_Primary,sub_median,0.03,30.0,1.40793903,8257.698137170888,81,0.031946091094536944,1.0648697031512315
tic267574918_s0056_o119_c4-1_Primary,sub_median_abs,0.03,30.0,1.40793903,8257.698137170888,81,0.031946091094536944,1.0648697031512315
tic267574918_s0056_o119_c4-1_Primary,sub_auto,0.03,30.0,1.40793903,8257.698137170888,81,0.031946091094536944,1.0648697031512315
tic267574918_s0056_o119_c4-1_Small,divisive,0.03,30.0,1.40793903,4909.682539407609,81,0.030072812365291357,1.0024270788430454
tic267574918_s0056_o119_c4-1_Small,sub_median,0.03,30.0,1.40793903,4909.682539407609,81,0.02927862563254069,0.9759541877513563
