tic,tmag,path,plot,n_cadences,n_q0,neg_sap_q0,finite_det_q0,det_median_q0,det_mad_q0,pipeline,method,bkspace,sigclip
1102564575,18.719616702984077,/pdo/users/tehan/tglc-gpu-production/hlsp_s0057_twirl_fs_v1/0000/0011/0256/4575/hlsp_twirlfs_tess_ffi_s0057-0000001102564575_tess_v01_llc.fits,/pdo/users/tehan/tglc-gpu-production/reports/twirl_fs_dim_qa/s57_random_dim_20260519T125752/tic1102564575_twirl_fs_v1.png,10801,9043,2520,9043,1.0,0.7484386929273605,TWIRL-FS,twirl-fs-v1,0.8,5.0
1400694779,20.024121524832953,/pdo/users/tehan/tglc-gpu-production/hlsp_s0057_twirl_fs_v1/0000/0014/0069/4779/hlsp_twirlfs_tess_ffi_s0057-0000001400694779_tess_v01_llc.fits,/pdo/users/tehan/tglc-gpu-production/reports/twirl_fs_dim_qa/s57_random_dim_20260519T125752/tic1400694779_twirl_fs_v1.png,10801,10576,3364,10576,1.0000000298023224,0.9045971146792173,TWIRL-FS,twirl-fs-v1,0.8,5.0
601235113,19.884821527033793,/pdo/users/tehan/tglc-gpu-production/hlsp_s0057_twirl_fs_v1/0000/0006/0123/5113/hlsp_twirlfs_tess_ffi_s0057-0000000601235113_tess_v01_llc.fits,/pdo/users/tehan/tglc-gpu-production/reports/twirl_fs_dim_qa/s57_random_dim_20260519T125752/tic0601235113_twirl_fs_v1.png,10802,10570,3254,10570,0.9999999701976776,0.8628310730338096,TWIRL-FS,twirl-fs-v1,0.8,5.0
2020870240,18.750115326526284,/pdo/users/tehan/tglc-gpu-production/hlsp_s0057_twirl_fs_v1/0000/0020/2087/0240/hlsp_twirlfs_tess_ffi_s0057-0000002020870240_tess_v01_llc.fits,/pdo/users/tehan/tglc-gpu-production/reports/twirl_fs_dim_qa/s57_random_dim_20260519T125752/tic2020870240_twirl_fs_v1.png,10802,10642,3817,10642,1.0000000298023224,0.34456936306357383,TWIRL-FS,twirl-fs-v1,0.8,5.0
611780146,19.652300121961375,/pdo/users/tehan/tglc-gpu-production/hlsp_s0057_twirl_fs_v1/0000/0006/1178/0146/hlsp_twirlfs_tess_ffi_s0057-0000000611780146_tess_v01_llc.fits,/pdo/users/tehan/tglc-gpu-production/reports/twirl_fs_dim_qa/s57_random_dim_20260519T125752/tic0611780146_twirl_fs_v1.png,10802,10794,4292,10794,1.0000000298023224,0.4001990208506584,TWIRL-FS,twirl-fs-v1,0.8,5.0
2041702715,18.959407756323603,/pdo/users/tehan/tglc-gpu-production/hlsp_s0057_twirl_fs_v1/0000/0020/4170/2715/hlsp_twirlfs_tess_ffi_s0057-0000002041702715_tess_v01_llc.fits,/pdo/users/tehan/tglc-gpu-production/reports/twirl_fs_dim_qa/s57_random_dim_20260519T125752/tic2041702715_twirl_fs_v1.png,10802,10234,1326,10234,0.9999999701976776,0.6262508110105991,TWIRL-FS,twirl-fs-v1,0.8,5.0
1884492428,19.467135549034055,/pdo/users/tehan/tglc-gpu-production/hlsp_s0057_twirl_fs_v1/0000/0018/8449/2428/hlsp_twirlfs_tess_ffi_s0057-0000001884492428_tess_v01_llc.fits,/pdo/users/tehan/tglc-gpu-production/reports/twirl_fs_dim_qa/s57_random_dim_20260519T125752/tic1884492428_twirl_fs_v1.png,10801,10347,2180,10347,1.0,0.7375212170004845,TWIRL-FS,twirl-fs-v1,0.8,5.0
2050216897,19.19891028594547,/pdo/users/tehan/tglc-gpu-production/hlsp_s0057_twirl_fs_v1/0000/0020/5021/6897/hlsp_twirlfs_tess_ffi_s0057-0000002050216897_tess_v01_llc.fits,/pdo/users/tehan/tglc-gpu-production/reports/twirl_fs_dim_qa/s57_random_dim_20260519T125752/tic2050216897_twirl_fs_v1.png,10802,10092,5186,10092,0.9999999701976776,0.5046156382977962,TWIRL-FS,twirl-fs-v1,0.8,5.0
